ふりがな,山名<山頂名>,都道府県,標高,緯度,経度
しれとこだけ,知床岳,北海道,1254,44度14分09秒,145度16分26秒
いおうざん,硫黄山,北海道,1562,44度08分00秒,145度09分41秒
ちえんべつだけ,知円別岳,北海道,1544,44度07分29秒,145度10分07秒
さしるいだけ,サシルイ岳,北海道,1564,44度05分43秒,145度08分37秒
らうすだけ,羅臼岳,北海道,1661,44度04分33秒,145度07分20秒
おんねべつだけ,遠音別岳,北海道,1330,43度59分36秒,145度00分48秒
うなべつだけ,海別岳,北海道,1419,43度52分37秒,144度52分36秒
しゃりだけ,斜里岳,北海道,1547,43度45分56秒,144度43分04秒
しべつだけ,標津岳,北海道,1061,43度40分05秒,144度42分18秒
もことやま,藻琴山,北海道,1000,43度42分16秒,144度19分52秒
あとさぬぷり（いおうざん）,アトサヌプリ（硫黄山）,北海道,508,43度36分37秒,144度26分19秒
かむいぬぷり（ましゅうだけ）,カムイヌプリ（摩周岳）,北海道,857,43度34分20秒,144度33分39秒
おあかんだけ,雄阿寒岳,北海道,1370,43度27分15秒,144度09分53秒
めあかんだけ,雌阿寒岳,北海道,1499,43度23分11秒,144度00分31秒
めあかんだけ<あかんふじ>,雌阿寒岳<阿寒富士>,北海道,1476,43度22分27秒,144度00分23秒
うこたきぬぷり,ウコタキヌプリ,北海道,747,43度12分30秒,143度47分51秒
れぶんだけ,礼文岳,北海道,490,45度22分21秒,141度00分57秒
りしりざん（りしりふじ）,利尻山（利尻富士）,北海道,1721,45度10分43秒,141度14分31秒
ぽろしりやま,幌尻山,北海道,427,45度09分56秒,142度00分31秒
ぱんけざん,パンケ山,北海道,632,44度51分25秒,142度08分59秒
ぽろぬぷりざん,ポロヌプリ山,北海道,841,44度57分42秒,142度25分13秒
びんねしりだけ,敏音知岳,北海道,703,44度53分35秒,142度14分04秒
はこだけ,函岳,北海道,1129,44度39分57秒,142度24分44秒
ぴやしりやま,ピヤシリ山,北海道,987,44度26分01秒,142度35分03秒
うつだけ,欝岳,北海道,818,44度17分30秒,143度04分57秒
うぇんしりだけ,ウェンシリ岳,北海道,1142,44度13分44秒,142度52分35秒
しょこつだけ,渚滑岳,北海道,1345,44度02分25秒,142度55分03秒
てしおだけ,天塩岳,北海道,1558,43度57分52秒,142度53分17秒
ちとかにうしやま,チトカニウシ山,北海道,1446,43度54分24秒,143度02分55秒
にころやま,仁頃山,北海道,829,43度52分42秒,143度43分06秒
にせいかうしゅっぺやま,ニセイカウシュッペ山,北海道,1883,43度46分48秒,142度59分07秒
むりいだけ,武利岳,北海道,1876,43度43分59秒,143度10分35秒
むかやま,武華山,北海道,1759,43度42分21秒,143度09分38秒
きたみふじ,北見富士,北海道,1291,43度41分37秒,143度17分45秒
たいせつざん<あさひだけ>,大雪山<旭岳>,北海道,2291,43度39分49秒,142度51分15秒
たいせつざん<くろだけ>,大雪山<黒岳>,北海道,1984,43度41分51秒,142度55分13秒
たいせつざん<ほくちんだけ>,大雪山<北鎮岳>,北海道,2244,43度41分34秒,142度52分47秒
たいせつざん<あいべつだけ>,大雪山<愛別岳>,北海道,2113,43度42分28秒,142度51分26秒
たいせつざん<はくうんだけ>,大雪山<白雲岳>,北海道,2230,43度39分40秒,142度54分21秒
ちゅうべつだけ,忠別岳,北海道,1963,43度35分28秒,142度53分40秒
とむらうしやま,トムラウシ山,北海道,2141,43度31分38秒,142度50分56秒
おぷたてしけやま,オプタテシケ山,北海道,2013,43度28分13秒,142度45分06秒
びえいだけ,美瑛岳,北海道,2052,43度26分24秒,142度42分24秒
とかちだけ,十勝岳,北海道,2077,43度25分04秒,142度41分11秒
かみほろかめっとくやま,上ホロカメットク山,北海道,1920,43度24分18秒,142度40分18秒
ふらのだけ,富良野岳,北海道,1912,43度23分37秒,142度38分06秒
